id,name,company_id,amount,status,created_at,paid_at,acciones
f47c42fab13956779e5db56ac48f42a7ed5eb50e,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,186.3,voided,2019-02-22,null,paid_at_no_pagado; 
eb01b8fdbc1d685c75ef184e01e6f169bfa373e7,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,184.91,voided,2019-03-19,null,paid_at_no_pagado; 
e903d9c16b1005b4ef4037d86e7fdfaf5110f841,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,143.56,voided,2019-02-12,null,paid_at_no_pagado; 
e2042a0f0b94e48a137998f89e4373ed1a03e461,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-04,null,paid_at_no_pagado; 
1f3ace31bfc0455fbd48be5980dcf32797d2c1eb,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.14,voided,2019-05-03,null,paid_at_no_pagado; 
29786d87939f3857c52b7545dea41e5ff27d5ebc,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-24,null,paid_at_no_pagado; 
a6b964c4dc6e2363872d5e0548efe4601564adaa,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-21,null,paid_at_no_pagado; 
496d2511ac4e58e78d6540142590c54e507af7d9,Muebles chidos,8f642dc67fccf861548dfe1c761ce22f795e91f0,5599.0,pending_payment,2019-02-19,null,paid_at_no_pagado; 
62c49af8d631260b4e13fe7b1e969a9dfba03214,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-27,null,paid_at_no_pagado; 
eea9f0a5bcb0234ed72daafd5a861a6f8e1836de,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,223.01,pending_payment,2019-03-28,null,paid_at_no_pagado; 
40a438f15711451770e99d61715a9352e1576f93,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,39.9,pending_payment,2019-02-14,null,paid_at_no_pagado; 
aef2058c6485d2ba70f82d591572423649b34897,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-04-30,null,paid_at_no_pagado; 
f143ea67ee5f26c61dd9eba2a2c3439bdd097b09,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.15,voided,2019-03-24,null,paid_at_no_pagado; 
289c48b0ac694c47d174dd8a26d7d405f12b7116,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-02,null,paid_at_no_pagado; 
cb02a6ab422c9d36d30f02f6cb02eef541be9bc0,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,38.65,voided,2019-02-08,null,paid_at_no_pagado; 
c5ffab640c4259dfa95794fd093ac4da4c3e6dd4,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,61.14,pending_payment,2019-04-03,null,paid_at_no_pagado; 
5416a4acfc1d5a429c814ba74dc5a575cf138c00,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-21,null,paid_at_no_pagado; 
2c21d9c5b4a87bdf3d5669e1cdab9afe7257b5ae,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,154.96,pending_payment,2019-01-12,null,paid_at_no_pagado; 
41d2d86f3769b321a0b67888ef483d6882c77175,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-15,null,paid_at_no_pagado; 
0b265389e941ff8f9c7395767108b5305b5b61e9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-12,null,paid_at_no_pagado; 
d22068fc5439afc7c1416e2bc7559a36ad52ee91,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,15.92,pending_payment,2019-03-15,null,paid_at_no_pagado; 
2b73a57769b4203eabf77dfcd54ffd1ea730f1ea,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-26,null,paid_at_no_pagado; 
b66ea1290a19e4475831391c88dc714c9959f983,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-04-15,null,paid_at_no_pagado; 
f44fdf01e57589e7b08525dbe3cd558c8e76724a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,115.6,voided,2019-02-27,null,paid_at_no_pagado; 
f78cf2ba2701da84d52a07739efbb9211999f860,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,38.51,voided,2019-02-17,null,paid_at_no_pagado; 
e0a88a4f95d6f5f1470d06914f72231d63a176e7,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,130.14,voided,2019-02-11,null,paid_at_no_pagado; 
dd2133b2426825645c1d2705c948a283cbdb63ce,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,68.71,voided,2019-03-04,null,paid_at_no_pagado; 
37584822ef3826aaf0dbe371aaca05d5566fb93d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-18,null,paid_at_no_pagado; 
ced953ebbc35c36a5576e29ff45b96cd01a801d2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-04,null,paid_at_no_pagado; 
c1bc6b4b7a8542c252e92536af63d212e1348333,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,240.95,pending_payment,2019-03-15,null,paid_at_no_pagado; 
ba7591f8d5e438041e33da05cbf91f130c45da77,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-09,null,paid_at_no_pagado; 
30c842e62f6b547d78ec483e1b0220100fc9cee5,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,52.16,voided,2019-03-29,null,paid_at_no_pagado; 
6e32698c969d3021a307dc68cc228a8b15b92f72,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-14,null,paid_at_no_pagado; 
f03e975424dfba4e9901652726f83c4bd70660e2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,21.37,voided,2019-05-16,null,paid_at_no_pagado; 
f31fae11edb0ab83564e757ca41f8586850c1585,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-10,null,paid_at_no_pagado; 
0721dfedacebe920239e1b20265b91cb925d52da,Muebles chidos,8f642dc67fccf861548dfe1c761ce22f795e91f0,7313.1,pending_payment,2019-04-02,null,paid_at_no_pagado; 
b32732db26de999269360c50888eaacfa40480ca,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,53.85,pending_payment,2019-04-04,null,paid_at_no_pagado; 
0d12c1bcdab288f63f62a9cb6503f89fcc871090,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-01,null,paid_at_no_pagado; 
c9aa61b22344912719af60cf6bd91b425a016b82,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,34.23,pending_payment,2019-03-31,null,paid_at_no_pagado; 
be74ca7f4e079d5af0b9ba6672f80a81a5faee5f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-11,null,paid_at_no_pagado; 
19535065dd55ad0c10dfb29fafa3a793b5e94bc2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-14,null,paid_at_no_pagado; 
22e57b5d6052a2a22e672f3c136dbfd9f690b520,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,57.64,voided,2019-03-16,null,paid_at_no_pagado; 
f7a7a2e6e29ddb7b8fdca4a9e247ae818d66be27,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,98.34,voided,2019-03-02,null,paid_at_no_pagado; 
2138a40d73fb6c3add02f1e83073bf0c09507e73,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,99.0,voided,2019-01-07,null,paid_at_no_pagado; 
1b692ed5e12a4bac97bc1442865aa20eccc2266d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-20,null,paid_at_no_pagado; 
5c243f2b661296093401d7b953a43cea72503f6b,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-14,null,paid_at_no_pagado; 
b9978b65d0a91b1fa68448758d0295bc7c5cb584,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-13,null,paid_at_no_pagado; 
ae8c7ed861756aa205cba10816f26290ea3e0fc6,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-31,null,paid_at_no_pagado; 
c38bd66d166626cc0705ef4cde337a944112e7ba,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.19,pending_payment,2019-04-03,null,paid_at_no_pagado; 
ad8855f54f015d9430cd06102a6336f0f936afcf,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-17,null,paid_at_no_pagado; 
f62b8330618ae438ea8fec2de21b58ead5a33fe8,Muebles chidos,8f642dc67fccf861548dfe1c761ce22f795e91f0,7999.0,pending_payment,2019-03-27,null,paid_at_no_pagado; 
